episode,reward,picks_per_hour,dist_per_agent,congestion_rate,num_items,norm_picks,norm_distance,norm_congestion,lambda_base,beta,jobs_arrived,jobs_completed,aisle_width,centre_aisle_width,depot_count,depot_cols,shelf_start_row,shelf_end_row,cross_aisle_row,cross_aisle_on
119,0.7355268684436577,68.6,713.4812755133107,0.39045122338735305,240,0.8556263269639064,0.7893296296669129,0.6051002036360298,0.02,0.3,69.0,68.6,2,5,4,"[7, 14, 21, 28]",5,21,15,1
120,0.7741938838143863,77.4,820.6685999377784,0.35033438388807747,352,1.0,0.598365204937232,0.7367108058330417,0.02,0.3,78.0,77.4,2,3,4,"[7, 14, 21, 28]",2,23,21,0
121,0.746402405198114,69.6,698.7598253431704,0.39786707141715927,288,0.8980891719745221,0.8155572949064586,0.5807711628345493,0.02,0.3,70.2,69.6,2,3,4,"[7, 14, 21, 28]",2,21,2,1
122,0.7312653610851201,72.6,757.134170274908,0.408924570575056,352,1.0,0.7115578410650991,0.544495021913976,0.02,0.3,73.2,72.6,2,5,4,"[7, 14, 21, 28]",2,23,20,0
123,0.7204782553818526,71.2,774.1751479614979,0.4024381038647343,336,0.9660297239915075,0.6811977166919588,0.5657750579420318,0.02,0.3,73.6,71.2,2,5,4,"[7, 14, 21, 28]",2,22,12,0
124,0.7269384101779988,71.6,741.7659887213853,0.41459821757383813,240,0.9830148619957535,0.7389377198452419,0.5258815890642504,0.02,0.3,72.0,71.6,3,5,3,"[8, 17, 26]",2,23,19,1
125,0.8367698140308405,74.4,708.7155741241406,0.34824683214719665,240,1.0,0.7978201804769354,0.7435593997193998,0.02,0.3,74.8,74.4,3,3,4,"[7, 14, 21, 28]",3,22,16,0
126,0.7472272192680509,66.8,657.423244570526,0.3868936773964707,304,0.7791932059447982,0.8892023495799019,0.6167713815266024,0.02,0.3,67.8,66.8,2,3,4,"[7, 14, 21, 28]",2,22,19,1
127,0.47252523102076033,64.8,685.3762734663411,0.5654266550739039,264,0.6942675159235668,0.8394013669431624,0.03106141540185394,0.02,0.3,76.4,64.8,3,1,4,"[7, 14, 21, 28]",2,23,5,0
128,0.7595622615590908,71.2,670.0784864646148,0.41505242234088163,256,0.9660297239915075,0.8666558311263826,0.5243914875593094,0.02,0.3,71.6,71.2,2,3,4,"[7, 14, 21, 28]",3,18,9,0
129,0.7601489463842938,81.2,856.8660875577831,0.34629418472063855,264,1.0,0.5338759340544144,0.7499654154199237,0.02,0.3,81.6,81.2,3,5,3,"[8, 17, 26]",2,23,18,0
130,0.8534817506490819,76.4,758.449267426642,0.3152555770244159,336,1.0,0.7092148702670782,0.8517932239223964,0.02,0.3,77.8,76.4,2,5,4,"[7, 14, 21, 28]",2,22,14,0
131,0.8595049616619266,72.0,667.2115428160084,0.34782608695652173,252,1.0,0.8717635642238191,0.744939730986952,0.02,0.3,73.2,72.0,3,3,4,"[7, 14, 21, 28]",2,22,13,0
132,0.7846553037303082,69.8,736.5952534034255,0.35524838012958965,288,0.9065817409766453,0.74814987716632,0.7205895457185467,0.02,0.3,71.0,69.8,2,5,4,"[7, 14, 21, 28]",2,21,7,1
