tick,agent_1,agent_2,agent_3,agent_4
416,0.529,0.0458,0.0283,0.1209
417,0.4324,0.0568,0.0993,0.0105
418,0.6796,0.0379,0.0408,0.0923
419,0.6692,0.1004,0.0337,0.0476
420,0.6642,0.058,0.0332,0.0113
421,0.6959,0.0309,0.1071,0.1179
422,0.6442,0.406,0.0402,0.1005
423,0.5614,0.3588,0.0366,0.0946
424,0.2824,0.3367,0.0171,0.0407
425,0.4587,0.3952,0.1007,0.0956
426,0.2058,0.2968,0.0363,0.1068
427,0.4223,0.5402,0.0288,0.1324
428,0.4292,0.5057,0.0428,0.1529
429,0.4424,0.4958,0.0605,0.1215
430,0.4293,0.4135,0.5258,0.0096
431,0.4263,0.3169,0.346,0.0044
432,0.4583,0.4547,0.7804,0.6338
433,0.6035,0.5161,0.8084,0.6525
434,0.5911,0.4706,0.7824,0.6804
435,0.5175,0.2154,0.6482,0.6683
436,0.3315,0.3365,0.5836,0.6333
437,0.3535,0.4118,0.7625,0.6121
438,0.0614,0.4241,0.8628,0.6259
439,0.0416,0.3681,0.8487,0.445
440,0.0616,0.5147,0.7756,0.5538
441,0.0852,0.5576,0.6619,0.6065
442,0.067,0.5014,0.7022,0.8272
443,0.0545,0.4895,0.6699,0.8554
444,0.0183,0.496,0.6665,0.8222
445,0.0493,0.3248,0.6732,0.8186
446,0.0569,0.6499,0.7124,0.8431
447,0.0333,0.6539,0.6767,0.8621
448,0.0157,0.6481,0.4464,0.7335
449,0.326,0.6594,0.7802,0.7805
450,0.3591,0.6796,0.8081,0.87
451,0.3672,0.6804,0.7223,0.817
452,0.2835,0.6565,0.55,0.6204
453,0.4428,0.6872,0.8819,0.8946
454,0.8186,0.6771,0.811,0.9347
455,0.7032,0.6472,0.8707,0.9344
456,0.8549,0.6571,0.7588,0.8204
457,0.7111,0.659,0.5637,0.8381
458,0.7408,0.6497,0.4849,0.5989
459,0.7502,0.5029,0.4749,0.6336
460,0.7457,0.4965,0.4823,0.0562
461,0.7701,0.5554,0.4947,0.0935
462,0.6834,0.2894,0.4947,0.0844
463,0.6772,0.5394,0.1387,0.0999
464,0.7427,0.5466,0.082,0.0253
465,0.7441,0.3519,0.3512,0.1084
466,0.7485,0.4175,0.3523,0.1009
467,0.6616,0.485,0.4008,0.0224
468,0.7645,0.7088,0.419,0.0118
469,0.7483,0.7119,0.3549,0.8605
470,0.6517,0.5511,0.3954,0.6528
471,0.5438,0.8061,0.3619,0.9758
472,0.5355,0.8279,0.374,0.9458
473,0.5383,0.7712,0.2671,0.9073
474,0.5542,0.7767,0.5869,0.8522
475,0.5675,0.7708,0.5883,0.87
476,0.3308,0.7696,0.6106,0.8084
477,0.2925,0.6506,0.6009,0.8074
478,0.565,0.697,0.5414,0.8246
479,0.5659,0.7854,0.4956,0.8079
480,0.5861,0.774,0.6074,0.8152
481,0.5683,0.7774,0.6002,0.5673
482,0.7749,0.7847,0.5837,0.5615
483,0.6638,0.5785,0.4769,0.5715
484,0.6683,1.0926,0.6839,0.5915
485,0.3904,1.0926,0.6748,0.5808
486,0.3081,1.0926,0.7105,0.3875
487,0.6205,1.0925,0.6566,0.8038
488,0.6392,1.0925,0.6645,0.7504
489,0.5997,0.8836,0.6667,0.5531
490,0.6127,1.0733,0.5312,0.3199
491,0.5999,1.1,0.4817,0.0768
492,0.6055,1.1,0.3405,0.0215
493,0.4872,1.0996,0.3824,0.1023
494,0.7532,1.0965,0.3026,0.0474
495,0.7441,1.0995,0.3521,0.1052
496,0.7176,1.1,0.323,0.038
497,0.7637,1.1,0.4721,0.0575
498,0.7593,1.2313,0.3857,0.0519
499,0.6707,1.2313,0.0811,0.0664
500,0.6344,1.2313,0.0747,0.0884
501,0.4553,0.6157,0.0489,0.0295
502,0.4103,1.1546,0.1493,0.0212
503,0.4836,1.0778,0.4568,0.0968
504,0.3319,1.0778,0.3776,0.0688
505,0.3846,1.0778,0.5163,0.0615
506,0.5348,1.0778,0.5414,0.0706
507,0.5516,1.0778,0.5355,0.0305
508,0.5517,0.5618,0.5697,0.1097
509,0.5481,0.9946,0.3755,0.0855
510,0.5365,1.0244,0.7158,0.1912
511,0.5613,1.0246,0.7265,0.105
512,0.2974,1.0246,0.7132,0.0486
513,0.5401,0.6831,0.7195,0.026
514,0.5469,1.0935,0.7129,0.0228
515,0.5243,1.0793,0.7073,0.0409
516,0.558,1.0935,0.7171,0.0174
