tick,arrivals,completions
1255,0.1,0.3
1256,0.3,0.2
1257,0.1,0.1
1258,0.3,0.0
1259,0.1,0.0
1260,0.0,0.3
1261,0.1,0.2
1262,0.2,0.0
1263,0.0,0.1
1264,0.2,0.0
1265,0.1,0.2
1266,0.2,0.2
1267,0.1,0.2
1268,0.3,0.5
1269,0.0,0.2
1270,0.0,0.1
1271,0.1,0.0
1272,0.0,0.0
1273,0.0,0.1
1274,0.2,0.3
1275,0.1,0.2
1276,0.3,0.1
1277,0.0,0.0
1278,0.1,0.0
1279,0.1,0.1
1280,0.0,0.1
1281,0.2,0.2
1282,0.0,0.2
1283,0.0,0.5
1284,0.2,0.1
1285,0.1,0.0
1286,0.3,0.2
1287,0.1,0.1
1288,0.3,0.1
1289,0.1,0.4
1290,0.0,0.1
1291,0.0,0.0
1292,0.1,0.3
1293,0.4,0.3
1294,0.1,0.1
1295,0.4,0.1
1296,0.0,0.1
1297,0.1,0.2
1298,0.1,0.1
1299,0.0,0.1
1300,0.0,0.1
1301,0.1,0.1
1302,0.2,0.1
1303,0.1,0.2
1304,0.0,0.1
1305,0.1,0.0
1306,0.1,0.2
1307,0.0,0.0
1308,0.2,0.1
1309,0.1,0.2
1310,0.3,0.1
1311,0.2,0.5
1312,0.0,0.0
1313,0.0,0.1
1314,0.0,0.1
1315,0.4,0.2
1316,0.0,0.2
1317,0.3,0.1
1318,0.1,0.1
1319,0.1,0.0
1320,0.1,0.0
1321,0.0,0.0
1322,0.4,0.4
1323,0.1,0.1
1324,0.1,0.5
1325,0.1,0.1
1326,0.2,0.2
1327,0.1,0.1
1328,0.2,0.0
1329,0.1,0.1
1330,0.1,0.2
1331,0.1,0.0
1332,0.1,0.3
1333,0.3,0.1
1334,0.1,0.2
1335,0.1,0.1
1336,0.0,0.2
1337,0.2,0.6
1338,0.3,0.1
1339,0.0,0.3
1340,0.2,0.0
1341,0.2,0.1
1342,0.1,0.2
1343,0.0,0.3
1344,0.0,0.0
1345,0.0,0.1
1346,0.1,0.2
1347,0.0,0.1
1348,0.2,0.1
1349,0.0,0.0
1350,0.1,0.1
1351,0.0,0.1
1352,0.2,0.0
1353,0.1,0.0
1354,0.1,0.2
1355,0.1,0.0
1356,0.2,0.0
1357,0.3,0.2
